Timestamp,acc_x,acc_y,acc_z,GyroX,GyroY,GyroZ
2024-07-26T01:04:59.628027,-3.99,0.86,8.32,242.0,-18.81,22.19
2024-07-26T01:04:59.789115,-0.09,5.4,4.04,247.19,-18.81,47.44
2024-07-26T01:05:00.073765,2.78,7.97,-1.35,255.5,-7.69,98.06
2024-07-26T01:05:00.432766,2.42,8.19,-15.38,27.56,-8.88,32.257
2024-07-26T01:05:00.767840,1.55,-0.67,-0.61,270.25,-9.25,33.69
2024-07-26T01:05:01.157592,4.76,4.07,-7.96,268.94,-14.0,69.12
2024-07-26T01:05:01.526558,1.22,5.08,-6.69,265.94,-14.0,69.12
2024-07-26T01:05:01.937636,2.42,6.43,-3.58,233.25,-18.69,37.69
2024-07-26T01:05:02.237277,-6.34,-3.74,7.67,227.0,-21.37,2.69
2024-07-26T01:05:02.597617,-6.34,-3.74,7.67,227.0,-21.37,2.69
2024-07-26T01:05:02.959108,-6.34,-3.74,7.67,227.0,-21.37,2.69
2024-07-26T01:05:03.258480,3.02,8.99,-2.19,255.25,-9.31,81.258
2024-07-26T01:05:03.557536,1.84,3.64,-1.83,273.94,-4.75,100.81
2024-07-26T01:05:03.916709,3.71,8.73,-9.34,274.94,-4.75,100.81
2024-07-26T01:05:04.219511,-6.39,9.23,19.17,240.31,-19.12,9.69
2024-07-26T01:05:04.517554,3.42,5.09,-6.52,270.12,-2.56,107.5
2024-07-26T01:05:04.817845,5.1,15.86,-5.57,26.12,-13.44,46.63
2024-07-26T01:05:05.118742,1.75,-2.34,30.04,242.69,-11.94,4.06
2024-07-26T01:05:05.417325,1.89,13.31,4.58,236.87,-8.44,96.945
2024-07-26T01:05:05.721914,1.34,2.15,-1.64,253.87,-9.38,100.37
2024-07-26T01:05:06.077326,1.2,1.1,-0.33,252.12,-6.94,103.37
2024-07-26T01:05:06.378200,4.91,13.29,-7.47,251.31,-7.87,91.75
2024-07-26T01:05:06.738276,-0.53,14.31,29.95,2.5,-14.0,30.81
2024-07-26T01:05:07.098423,3.65,5.84,-7.89,249.44,-5.19,94.314
2024-07-26T01:05:07.457868,0.6,-0.37,0.61,245.69,-7.12,94.194
2024-07-26T01:05:07.877731,3.9,9.29,-7.19,243.25,-9.25,92.754
2024-07-26T01:05:08.178877,-3.59,5.92,17.38,22.25,-11.13,43.25
2024-07-26T01:05:08.478733,2.3,12.41,-4.25,24.81,-3.62,105.94
2024-07-26T01:05:09.258518,-0.15,0.05,0.54,245.81,-5.87,110.37
2024-07-26T01:05:09.557814,0.47,2.66,-1.37,248.69,-8.0,113.37
2024-07-26T01:05:09.918633,0.47,2.66,-1.37,2482.25,-3.37,99.94
2024-07-26T01:05:10.226536,1.64,4.04,-3.41,28825.0,2.94,108.6294
2024-07-26T01:05:10.581619,-0.08,-0.02,0.86,2800.0,0.81,105.3131
2024-07-26T01:05:11.179020,5.52,12.13,-9.67,279.94,-3.19,92.5
2024-07-26T01:05:11.538250,5.52,12.13,-9.67,270.44,-5.94,91.56
2024-07-26T01:05:11.836480,1.48,34.58,-5.22,284.44,-7.37,81.44
2024-07-26T01:05:12.138914,1.48,34.58,-5.22,28.12,-2.37,87.064
2024-07-26T01:05:12.467314,0.34,3.48,-3.83,290.25,-1.62,97.624
2024-07-26T01:05:13.517373,0.0,0.41,-0.92,281.81,-5.06,103.06
2024-07-26T01:05:13.817080,1.65,0.1,-1.22,281.87,-4.19,104.25
2024-07-26T01:05:14.118451,1.65,0.1,-1.22,281.87,-4.19,104.25
2024-07-26T01:05:14.417488,0.25,-0.1,0.81,26406.0,-3.37,115.31
2024-07-26T01:05:14.717242,-0.64,0.6,1.79,256.94,-2.44,122.62
2024-07-26T01:05:15.076977,5.53,20.46,-6.34,256.31,-1.12,95.06
2024-07-26T01:05:15.377067,5.53,20.46,-6.34,256.31,-1.12,95.06
2024-07-26T01:05:15.736414,3.54,9.26,-8.79,258.56,2.56,106.879
2024-07-26T01:05:16.037880,0.29,0.1,1.05,257.56,0.94,104.5679
2024-07-26T01:05:16.757574,0.0,-0.71,2.9,25750.0,-5.06,116.879
2024-07-26T01:05:17.179523,1.29,2.71,-1.58,263.94,-7.5,46.569
2024-07-26T01:05:17.540275,1.3,8.7,30.61,282.37,-10.94,69.12
2024-07-26T01:05:17.901037,-0.53,0.35,-0.11,29.5,1.19,114.316
2024-07-26T01:05:18.198370,0.24,0.52,0.95,293.44,0.56,114.8116
2024-07-26T01:05:19.456104,-0.33,0.24,0.7,28937.0,-1.25,114.251
2024-07-26T01:05:19.820258,0.34,3.36,-1.63,289.87,-1.5,114.87
